S. No.,Name of State / UT,Cases,Cured/Discharged/Migrated,Death,Lon,Lat
0,Andhra Pradesh,2,0,0,79.95790645500007,15.75458548900002
1,Chandigarh,1,0,0,76.80000000000007,30.750000000000053
2,Chhattisgarh,1,0,0,82.04162098600005,21.26514922900003
3,Delhi,12,3,1,77.21689000000003,28.634100000000053
4,Haryana,17,0,0,76.34013666700008,29.196462269000047
5,Jammu and Kashmir,4,0,0,76.66667000000007,33.916670000000074
6,Karnataka,14,0,1,76.17046875100006,14.705918941000053
7,Kerala,27,3,0,76.40890740100008,10.447255029000075
8,Ladakh,8,0,0,92.67517000000004,11.700650000000053
9,Maharashtra,47,0,1,73.01582000000008,19.03681000000006
10,Odisha,1,0,0,85.00127000000003,20.926660000000027
11,Pondicherry,1,0,0,79.82470000000006,11.92993000000007
12,Punjab,2,0,1,75.41747872800005,30.843241599000066
13,Rajasthan,7,3,0,73.84574434400008,26.58650276900005
14,Tamil Nadu,2,1,0,78.40968773700007,11.013245508000068
15,Telengana,6,1,0,79.50000000000007,18.00000000000005
16,Uttar Pradesh,19,9,0,80.56363843900004,26.92872763600008
17,Uttarakhand,1,0,0,79.20756427700006,30.15483757800007
18,West Bengal,1,0,0,87.98640577100008,23.79776012600007
