S. No.,Name of State / UT,Cases,Cured/Discharged/Migrated,Death,Lon,Lat
0,Andhra Pradesh,9,1,0,79.95790645500007,15.75458548900002
1,Bihar,4,0,1,85.48728000000007,25.151460000000053
2,Chandigarh,7,0,0,76.78943000000005,30.703410000000076
3,Chhattisgarh,1,0,0,82.04162098600005,21.26514922900003
4,Delhi,31,6,1,77.21689000000003,28.634100000000053
5,Gujarat,38,0,1,71.57700007100006,22.695458108000025
6,Haryana,28,11,0,76.34013666700008,29.196462269000047
7,Himachal Pradesh,3,0,1,77.25004871100003,31.923656801000053
8,Jammu and Kashmir,7,1,0,76.31064826000005,34.64385349400004
9,Karnataka,41,3,1,76.17046875100006,14.705918941000053
10,Kerala,109,4,0,76.40890740100008,10.447255029000075
11,Ladakh,13,0,0,77.50000000000007,34.50000000000006
12,Madhya Pradesh,14,0,0,78.29753797900008,23.54296354600007
13,Maharashtra,128,1,3,73.01582000000008,19.03681000000006
14,Manipur,1,0,0,93.88394238100004,24.731636645000037
15,Mizoram,1,0,0,92.82891654000008,23.307804221000023
16,Odisha,2,0,0,85.00127000000003,20.926660000000027
17,Puducherry,1,0,0,79.82470000000006,11.92993000000007
18,Punjab,29,0,1,75.41747872800005,30.843241599000066
19,Rajasthan,36,3,0,73.84574434400008,26.58650276900005
20,Tamil Nadu,18,1,0,78.40968773700007,11.013245508000068
21,Telengana,35,1,0,79.50000000000007,18.00000000000005
22,Uttar Pradesh,37,11,0,80.56363843900004,26.92872763600008
23,Uttarakhand,4,0,0,79.20756427700006,30.15483757800007
24,West Bengal,9,0,1,87.98640577100008,23.79776012600007
