S. No.,Name of State / UT,Cases,Cured/Discharged/Migrated,Death,Lon,Lat
0,Andhra Pradesh,3,0,0,79.95790645500007,15.75458548900002
1,Chandigarh,5,0,0,76.78943000000005,30.703410000000076
2,Chhattisgarh,1,0,0,82.04162098600005,21.26514922900003
3,Delhi,27,5,1,77.21689000000003,28.634100000000053
4,Gujarat,14,0,0,71.57700007100006,22.695458108000025
5,Haryana,17,0,0,76.34013666700008,29.196462269000047
6,Himachal Pradesh,2,0,0,77.25004871100003,31.923656801000053
7,Jammu and Kashmir,4,0,0,76.31064826000005,34.64385349400004
8,Karnataka,20,2,1,76.17046875100006,14.705918941000053
9,Kerala,52,3,0,76.40890740100008,10.447255029000075
10,Ladakh,13,0,0,77.50000000000007,34.50000000000006
11,Madhya Pradesh,4,0,0,78.29753797900008,23.54296354600007
12,Maharashtra,63,0,2,73.01582000000008,19.03681000000006
13,Odisha,2,0,0,85.00127000000003,20.926660000000027
14,Puducherry,1,0,0,79.82470000000006,11.92993000000007
15,Punjab,13,0,1,75.41747872800005,30.843241599000066
16,Rajasthan,24,3,0,73.84574434400008,26.58650276900005
17,Tamil Nadu,6,1,0,78.40968773700007,11.013245508000068
18,Telengana,21,1,0,79.50000000000007,18.00000000000005
19,Uttar Pradesh,25,9,0,80.56363843900004,26.92872763600008
20,Uttarakhand,3,0,0,79.20756427700006,30.15483757800007
21,West Bengal,4,0,0,87.98640577100008,23.79776012600007
