S. No.,Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,305,5,4,79.95790576800005,15.754585607000024
2,Andaman and Nicobar Islands,10,0,0,92.78097500000007,12.472918209000056
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073
4,Assam,27,0,0,92.83015209500007,26.326143585000068
5,Bihar,38,0,1,85.48728000000006,25.151460000000043
6,Chandigarh,18,7,0,76.78943000000004,30.703410000000076
7,Chhattisgarh,10,9,0,82.04162083700004,21.265149260000044
8,Delhi,576,21,9,77.21689000000003,28.634100000000046
9,Goa,7,0,0,74.05421646500008,15.362577927000075
10,Gujarat,165,25,13,71.57702777600008,22.695412103000024
11,Haryana,147,28,3,76.34013631800008,29.196461959000032
12,Himachal Pradesh,18,2,1,77.25004871100003,31.92365680000006
13,Jammu and Kashmir,116,4,2,76.31064825900006,34.64385349200006
14,Jharkhand,4,0,0,85.55996217400008,23.653965903000028
15,Karnataka,175,25,4,76.17046946700003,14.705918599000029
16,Kerala,336,70,2,76.40890634100003,10.447255617000053
17,Ladakh,14,10,0,77.50000000000006,34.50000000000006
18,Madhya Pradesh,229,0,13,78.29754465700006,23.54300214400007
19,Maharashtra,1018,79,64,73.01582000000008,19.03681000000006
20,Manipur,2,0,0,93.88394228400006,24.731636637000065
21,Mizoram,1,0,0,92.82891654100007,23.307804220000037
22,Odisha,42,2,1,85.00127000000003,20.926660000000027
23,Puducherry,5,1,0,79.82470000000006,11.92993000000007
24,Punjab,91,4,7,75.41747895900005,30.843241601000045
25,Rajasthan,328,21,3,73.84574451200007,26.586502090000067
26,Tamil Nadu,690,19,7,78.40968946000004,11.013249830000063
27,Telengana,427,35,7,79.50000000000006,18.000000000000057
28,Tripura,1,0,0,91.74011046400005,23.746521947000076
29,Uttarakhand,31,5,0,79.20756428100003,30.15483757800007
30,Uttar Pradesh,343,26,3,80.56369184900007,26.928766474000042
31,West Bengal,99,13,5,87.98640557800007,23.797759531000054
