S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,3,0,0,0,79.95790645500006,15.754585489000021
2,Chhattisgarh,1,0,0,0,82.04162098600005,21.26514922900003
3,Delhi,26,1,5,1,77.21689000000003,28.634100000000046
4,Gujarat,14,0,0,0,71.57700007100004,22.695458108000025
5,Haryana,3,14,0,0,76.34013666700008,29.19646226900005
6,Himachal Pradesh,2,0,0,0,77.25004871100003,31.92365680100005
7,Karnataka,20,0,2,1,76.17046875100004,14.70591894100005
8,Kerala,45,7,3,0,76.40890740100008,10.447255029000075
9,Madhya Pradesh,4,0,0,0,78.29753797900008,23.542963546000067
10,Maharashtra,60,3,0,2,73.01582000000008,19.03681000000006
11,Odisha,2,0,0,0,85.00127000000003,20.926660000000027
12,Puducherry,1,0,0,0,79.82470000000006,11.92993000000007
13,Punjab,13,0,0,1,75.41747872800005,30.843241599000066
14,Rajasthan,22,2,3,0,73.84574434400008,26.58650276900005
15,Tamil Nadu,4,2,1,0,78.40968773700007,11.013245508000068
16,Telengana,10,11,1,0,79.50000000000006,18.000000000000057
17,Chandigarh,5,0,0,0,76.78943000000004,30.703410000000076
18,Jammu and Kashmir,4,0,0,0,76.31064826000005,34.64385349400004
19,Ladakh,13,0,0,0,77.50000000000006,34.50000000000006
20,Uttar Pradesh,24,1,9,0,80.56363843900004,26.928727636000076
21,Uttarakhand,3,0,0,0,79.20756427700007,30.15483757800007
22,West Bengal,4,0,0,0,87.98640577100008,23.79776012600007
