S. No.,Name of State / UT,Total Confirmed cases (Including 51 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,83,0,0,94.66035909400006,28.033781652000073
2,Andaman and Nicobar Islands,10,1,0,92.78097500000007,12.472918209000056
3,Assam,1,0,0,92.83015209500007,26.326143585000068
4,Bihar,23,0,1,85.48728000000006,25.151460000000043
5,Chandigarh,16,0,0,76.78943000000004,30.703410000000076
6,Chhattisgarh,9,2,0,82.04162083700004,21.265149260000044
7,Delhi,152,6,2,77.21689000000003,28.634100000000046
8,Goa,5,0,0,74.05421646500008,15.362577927000075
9,Gujarat,82,5,6,71.57702777600008,22.695412103000024
10,Haryana,43,21,0,76.34013631800008,29.196461959000032
11,Himachal Pradesh,3,0,1,77.25004871100003,31.92365680000006
12,Jammu and Kashmir,62,2,2,76.31064825900006,34.64385349200006
13,Jharkhand,1,0,0,85.55996217400008,23.653965903000028
14,Karnataka,101,8,3,76.17046946700003,14.705918599000029
15,Kerala,241,23,2,76.40890634100003,10.447255617000053
16,Ladakh,13,3,0,77.50000000000006,34.50000000000006
17,Madhya Pradesh,66,0,3,78.29754465700006,23.54300214400007
18,Maharashtra,302,39,9,73.01582000000008,19.03681000000006
19,Manipur,1,0,0,93.88394228400006,24.731636637000065
20,Mizoram,1,0,0,92.82891654100007,23.307804220000037
21,Odisha,4,0,0,85.00127000000003,20.926660000000027
22,Puducherry,3,1,0,79.82470000000006,11.92993000000007
23,Punjab,42,1,3,75.41747895900005,30.843241601000045
24,Rajasthan,93,3,0,73.84574451200007,26.586502090000067
25,Tamil Nadu,234,6,1,78.40968946000004,11.013249830000063
26,Telengana,96,1,3,79.50000000000006,18.000000000000057
27,Uttarakhand,7,2,0,79.20756428100003,30.15483757800007
28,Uttar Pradesh,103,14,2,80.56369184900007,26.928766474000042
29,West Bengal,37,6,3,87.98640557800007,23.797759531000054
