S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,3,0,0,0,79.95790645500006,15.754585489000021
2,Chhattisgarh,1,0,0,0,82.04162098600005,21.26514922900003
3,Delhi,16,1,5,1,77.21689000000003,28.634100000000046
4,Gujarat,5,0,0,0,71.57700007100004,22.695458108000025
5,Haryana,3,14,0,0,76.34013666700008,29.19646226900005
6,Karnataka,15,0,1,1,76.17046875100004,14.70591894100005
7,Kerala,26,2,3,0,76.40890740100008,10.447255029000075
8,Maharashtra,49,3,0,1,73.01582000000008,19.03681000000006
9,Odisha,2,0,0,0,85.00127000000003,20.926660000000027
10,Puducherry,1,0,0,0,79.82470000000006,11.92993000000007
11,Punjab,2,0,0,1,75.41747872800005,30.843241599000066
12,Rajasthan,15,2,3,0,73.84574434400008,26.58650276900005
13,Tamil Nadu,3,0,1,0,78.40968773700007,11.013245508000068
14,Telengana,8,9,1,0,79.50000000000006,18.000000000000057
15,Union Territory of Chandigarh,1,0,0,0,76.80000000000007,30.750000000000057
16,Union Territory of Jammu and Kashmir,4,0,0,0,76.66667000000007,33.91667000000007
17,Union Territory of Ladakh,10,0,0,0,92.67517000000004,11.700650000000053
18,Uttar Pradesh,22,1,9,0,80.56363843900004,26.928727636000076
19,Uttarakhand,3,0,0,0,79.20756427700007,30.15483757800007
20,West Bengal,2,0,0,0,87.98640577100008,23.79776012600007
