S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,14,0,1,0,79.95790645500006,15.754585489000021
2,Andaman and Nicobar Islands,6,0,0,0,92.78097500000007,12.472918209000056
3,Bihar,9,0,0,1,85.48728000000006,25.151460000000043
4,Chandigarh,8,0,0,0,76.78943000000004,30.703410000000076
5,Chhattisgarh,6,0,0,0,82.04162098600005,21.26514922900003
6,Delhi,38,1,6,1,77.21689000000003,28.634100000000046
7,Goa,3,0,0,0,74.05421645600006,15.362577956000052
8,Gujarat,44,1,0,3,71.57700007100004,22.695458108000025
9,Haryana,19,14,12,0,76.34013666700008,29.19646226900005
10,Himachal Pradesh,3,0,0,1,77.25004871100003,31.92365680100005
11,Jammu and Kashmir,20,0,1,1,76.31064826000005,34.64385349400004
12,Karnataka,55,0,3,2,76.17046875100004,14.70591894100005
13,Kerala,168,8,11,0,76.40890740100008,10.447255029000075
14,Ladakh,13,0,3,0,77.50000000000006,34.50000000000006
15,Madhya Pradesh,30,0,0,2,78.29753797900008,23.542963546000067
16,Maharashtra,177,3,25,5,73.01582000000008,19.03681000000006
17,Manipur,1,0,0,0,93.88394238100005,24.731636645000037
18,Mizoram,1,0,0,0,92.82891654000008,23.307804221000026
19,Odisha,3,0,0,0,85.00127000000003,20.926660000000027
20,Puducherry,1,0,0,0,79.82470000000006,11.92993000000007
21,Punjab,38,0,1,1,75.41747872800005,30.843241599000066
22,Rajasthan,52,2,3,0,73.84574434400008,26.58650276900005
23,Tamil Nadu,34,6,2,1,78.40968773700007,11.013245508000068
24,Telengana,46,10,1,0,79.50000000000006,18.000000000000057
25,Uttarakhand,4,1,0,0,79.20756427700007,30.15483757800007
26,Uttar Pradesh,54,1,11,0,80.56363843900004,26.928727636000076
27,West Bengal,15,0,0,1,87.98640577100008,23.79776012600007
