S. No.,Name of State / UT,Total Confirmed cases (Including 66 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,226,1,3,79.95790576800005,15.754585607000024
2,Andaman and Nicobar Islands,10,0,0,92.78097500000007,12.472918209000056
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073
4,Assam,26,0,0,92.83015209500007,26.326143585000068
5,Bihar,30,0,1,85.48728000000006,25.151460000000043
6,Chandigarh,18,0,0,76.78943000000004,30.703410000000076
7,Chhattisgarh,9,3,0,82.04162083700004,21.265149260000044
8,Delhi,503,18,7,77.21689000000003,28.634100000000046
9,Goa,7,0,0,74.05421646500008,15.362577927000075
10,Gujarat,122,18,11,71.57702777600008,22.695412103000024
11,Haryana,84,25,1,76.34013631800008,29.196461959000032
12,Himachal Pradesh,13,1,1,77.25004871100003,31.92365680000006
13,Jammu and Kashmir,106,4,2,76.31064825900006,34.64385349200006
14,Jharkhand,3,0,0,85.55996217400008,23.653965903000028
15,Karnataka,151,12,4,76.17046946700003,14.705918599000029
16,Kerala,314,55,2,76.40890634100003,10.447255617000053
17,Ladakh,14,10,0,77.50000000000006,34.50000000000006
18,Madhya Pradesh,165,0,9,78.29754465700006,23.54300214400007
19,Maharashtra,690,42,45,73.01582000000008,19.03681000000006
20,Manipur,2,0,0,93.88394228400006,24.731636637000065
21,Mizoram,1,0,0,92.82891654100007,23.307804220000037
22,Odisha,21,2,0,85.00127000000003,20.926660000000027
23,Puducherry,5,1,0,79.82470000000006,11.92993000000007
24,Punjab,68,4,6,75.41747895900005,30.843241601000045
25,Rajasthan,253,21,0,73.84574451200007,26.586502090000067
26,Tamil Nadu,571,8,5,78.40968946000004,11.013249830000063
27,Telengana,321,34,7,79.50000000000006,18.000000000000057
28,Uttarakhand,26,4,0,79.20756428100003,30.15483757800007
29,Uttar Pradesh,227,19,2,80.56369184900007,26.928766474000042
30,West Bengal,80,10,3,87.98640557800007,23.797759531000054
