S. No.,Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andaman and Nicobar Islands,22,11,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,955,145,29,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073
4,Assam,36,19,1,92.83015209500007,26.326143585000068
5,Bihar,176,46,2,85.48728000000006,25.151460000000043
6,Chandigarh,27,14,0,76.78943000000004,30.703410000000076
7,Chhattisgarh,36,28,0,82.04162083700004,21.265149260000044
8,Delhi,2376,808,50,77.21689000000003,28.634100000000046
9,Goa,7,7,0,74.05421646500008,15.362577927000075
10,Gujarat,2624,258,112,71.57702777600008,22.695412103000024
11,Haryana,272,156,3,76.34013631800008,29.196461959000032
12,Himachal Pradesh,40,18,1,77.25004871100003,31.92365680000006
13,Jammu and Kashmir,427,92,5,76.31064825900006,34.64385349200006
14,Jharkhand,55,8,3,85.55996217400008,23.653965903000028
15,Karnataka,463,150,18,76.17046946700003,14.705918599000029
16,Kerala,448,324,3,76.40890634100003,10.447255617000053
17,Ladakh,18,14,0,77.50000000000006,34.50000000000006
18,Madhya Pradesh,1852,203,83,78.29754465700006,23.54300214400007
19,Maharashtra,6430,840,283,73.01582000000008,19.03681000000006
20,Manipur,2,2,0,93.88394228400006,24.731636637000065
21,Meghalaya,12,0,1,91.27961259500006,25.536524185000076
22,Mizoram,1,0,0,92.82891654100007,23.307804220000037
23,Odisha,90,33,1,85.00127000000003,20.926660000000027
24,Puducherry,7,3,0,79.82470000000006,11.92993000000007
25,Punjab,277,65,16,75.41747895900005,30.843241601000045
26,Rajasthan,1964,230,27,73.84574451200007,26.586502090000067
27,Tamil Nadu,1683,752,20,78.40968946000004,11.013249830000063
28,Telengana,984,253,26,79.50000000000006,18.000000000000057
29,Tripura,2,1,0,91.74011046400005,23.746521947000076
30,Uttarakhand,47,24,0,79.20756428100003,30.15483757800007
31,Uttar Pradesh,1604,206,24,80.56369184900007,26.928766474000042
32,West Bengal,514,103,15,87.98640557800007,23.797759531000054
